,iso2,year,sex,age,cases
71,FR,2006,m,0-4,8
72,FR,2007,m,0-4,8
73,FR,2008,m,0-4,5
74,GB,2005,m,0-4,4
75,GB,2006,m,0-4,3
76,GB,2007,m,0-4,2
77,GB,2008,m,0-4,1
78,GE,2006,m,0-4,0
79,GE,2007,m,0-4,6
80,GE,2008,m,0-4,39
81,GM,2008,m,0-4,1
82,GR,2005,m,0-4,0
83,GR,2006,m,0-4,0
84,GR,2007,m,0-4,0
85,GR,2008,m,0-4,0
86,GT,2008,m,0-4,0
87,GU,2008,m,0-4,0
88,GY,2008,m,0-4,2
89,HK,2008,m,0-4,0
90,HN,2008,m,0-4,1
91,HR,2005,m,0-4,0
92,HR,2006,m,0-4,0
93,HR,2008,m,0-4,0
94,HT,2008,m,0-4,8
95,HU,2005,m,0-4,0
96,HU,2006,m,0-4,0
97,HU,2007,m,0-4,0
98,HU,2008,m,0-4,0
99,ID,2008,m,0-4,161
100,IE,2005,m,0-4,0
101,IE,2006,m,0-4,0
102,IE,2007,m,0-4,0
103,IE,2008,m,0-4,1
104,IL,2005,m,0-4,0
105,IL,2006,m,0-4,0
106,IL,2007,m,0-4,0
107,IL,2008,m,0-4,0
108,IQ,2008,m,0-4,2
109,IR,2008,m,0-4,0
110,IS,2005,m,0-4,0
111,IS,2006,m,0-4,0
112,IS,2007,m,0-4,0
113,IS,2008,m,0-4,0
114,IT,2005,m,0-4,7
115,IT,2006,m,0-4,6
116,IT,2007,m,0-4,1
117,IT,2008,m,0-4,1
118,JM,2008,m,0-4,2
119,JO,2008,m,0-4,0
120,JP,2008,m,0-4,0
121,KE,2008,m,0-4,40
122,KG,2005,m,0-4,0
123,KI,2008,m,0-4,0
124,KM,2008,m,0-4,0
125,KN,2008,m,0-4,0
126,KP,2008,m,0-4,11
127,KR,2008,m,0-4,3
128,KW,2008,m,0-4,0
129,KZ,2005,m,0-4,0
130,KZ,2007,m,0-4,3
131,KZ,2008,m,0-4,0
132,LB,2008,m,0-4,0
133,LC,2008,m,0-4,0
134,LR,2008,m,0-4,3
135,LS,2008,m,0-4,0
136,LT,2005,m,0-4,0
137,LT,2006,m,0-4,0
138,LT,2007,m,0-4,0
139,LT,2008,m,0-4,0
140,LU,2005,m,0-4,0
141,LU,2006,m,0-4,0
142,LU,2007,m,0-4,0
143,LU,2008,m,0-4,0
144,LV,2005,m,0-4,0
145,LV,2006,m,0-4,0
146,LV,2008,m,0-4,0
147,LY,2008,m,0-4,1
148,MA,2008,m,0-4,5
149,MD,2005,m,0-4,0
150,MD,2007,m,0-4,0
151,MD,2008,m,0-4,0
152,ME,2005,m,0-4,0
153,ME,2007,m,0-4,0
154,ME,2008,m,0-4,0
155,MG,2008,m,0-4,21
156,MH,2008,m,0-4,0
157,MK,2005,m,0-4,0
158,MK,2006,m,0-4,0
159,MK,2007,m,0-4,0
160,MK,2008,m,0-4,0
161,ML,2008,m,0-4,2
162,MO,2008,m,0-4,0
163,MP,2008,m,0-4,0
164,MT,2005,m,0-4,0
165,MT,2006,m,0-4,0
166,MT,2007,m,0-4,0
167,MT,2008,m,0-4,0
168,MU,2008,m,0-4,0
169,MX,2008,m,0-4,62
170,MY,2008,m,0-4,61
171,NC,2008,m,0-4,0
172,NL,2005,m,0-4,0
173,NL,2006,m,0-4,0
174,NL,2007,m,0-4,1
175,NL,2008,m,0-4,0
176,NO,2005,m,0-4,0
177,NO,2006,m,0-4,0
178,NO,2008,m,0-4,0
179,NR,2008,m,0-4,0
180,NZ,2008,m,0-4,0
181,OM,2008,m,0-4,0
182,PE,2008,m,0-4,10
183,PF,2008,m,0-4,0
184,PL,2005,m,0-4,2
185,PL,2006,m,0-4,1
186,PL,2007,m,0-4,0
187,PL,2008,m,0-4,3
188,PR,2008,m,0-4,0
189,PS,2008,m,0-4,0
190,PT,2005,m,0-4,3
191,PT,2006,m,0-4,4
192,PT,2007,m,0-4,1
193,PT,2008,m,0-4,1
194,PY,2008,m,0-4,3
195,QA,2008,m,0-4,0
196,RO,2005,m,0-4,10
197,RO,2006,m,0-4,9
198,RO,2008,m,0-4,8
199,RS,2005,m,0-4,0
200,RS,2006,m,0-4,2
201,RS,2007,m,0-4,0
202,RS,2008,m,0-4,0
203,RU,2008,m,0-4,1
204,SB,2008,m,0-4,0
205,SC,2008,m,0-4,0
206,SD,2008,m,0-4,40
207,SE,2005,m,0-4,0
208,SE,2006,m,0-4,0
209,SE,2007,m,0-4,0
210,SE,2008,m,0-4,0
211,SG,2008,m,0-4,0
212,SI,2005,m,0-4,0
213,SI,2006,m,0-4,0
214,SI,2007,m,0-4,0
215,SI,2008,m,0-4,0
216,SK,2005,m,0-4,0
217,SK,2006,m,0-4,1
218,SK,2007,m,0-4,0
219,SK,2008,m,0-4,0
220,SN,2008,m,0-4,2
221,SV,2008,m,0-4,0
222,SZ,2008,m,0-4,1
223,TJ,2005,m,0-4,0
224,TJ,2008,m,0-4,0
225,TM,2005,m,0-4,0
226,TM,2007,m,0-4,0
227,TO,2008,m,0-4,0
228,TR,2005,m,0-4,1
229,TR,2006,m,0-4,2
230,TR,2007,m,0-4,13
231,TR,2008,m,0-4,7
232,TT,2008,m,0-4,0
233,TV,2008,m,0-4,0
234,UA,2007,m,0-4,5
235,UG,2008,m,0-4,0
236,US,2008,m,0-4,4
237,UY,2008,m,0-4,0
238,UZ,2007,m,0-4,0
239,VE,2008,m,0-4,0
240,ZA,2008,m,0-4,344
241,AD,2005,m,5-14,0
242,AD,2006,m,5-14,0
243,AD,2008,m,5-14,0
244,AE,2008,m,5-14,0
245,AL,2005,m,5-14,0
246,AL,2006,m,5-14,4
247,AL,2007,m,5-14,0
248,AM,2005,m,5-14,2
249,AM,2006,m,5-14,0
250,AM,2007,m,5-14,1
251,AM,2008,m,5-14,0
252,AR,2008,m,5-14,58
253,AT,2005,m,5-14,0
254,AT,2006,m,5-14,1
255,AZ,2005,m,5-14,75
256,AZ,2006,m,5-14,5
257,BA,2005,m,5-14,1
258,BA,2006,m,5-14,0
259,BA,2007,m,5-14,0
260,BA,2008,m,5-14,0
261,BB,2008,m,5-14,0
262,BE,2005,m,5-14,0
263,BE,2006,m,5-14,1
264,BE,2008,m,5-14,1
265,BG,2005,m,5-14,9
266,BG,2008,m,5-14,1
267,BH,2008,m,5-14,0
268,BN,2008,m,5-14,0
269,BR,2008,m,5-14,183
270,BS,2008,m,5-14,0
271,BW,2008,m,5-14,23
272,BZ,2008,m,5-14,1
273,CA,2008,m,5-14,2
274,CH,2005,m,5-14,1
275,CH,2006,m,5-14,1
276,CH,2007,m,5-14,0
277,CH,2008,m,5-14,0
278,CM,2008,m,5-14,0
279,CY,2005,m,5-14,0
280,CY,2006,m,5-14,0
281,CY,2007,m,5-14,0
282,CY,2008,m,5-14,0
283,CZ,2005,m,5-14,0
284,CZ,2006,m,5-14,0
285,CZ,2007,m,5-14,0
286,CZ,2008,m,5-14,0
287,DE,2005,m,5-14,4
288,DE,2006,m,5-14,2
289,DE,2007,m,5-14,2
290,DE,2008,m,5-14,2
291,DK,2005,m,5-14,0
292,DK,2006,m,5-14,0
293,DK,2007,m,5-14,0
294,DK,2008,m,5-14,0
295,DM,2008,m,5-14,0
296,DO,2008,m,5-14,14
297,EE,2005,m,5-14,0
298,EE,2006,m,5-14,0
299,EE,2007,m,5-14,0
300,EE,2008,m,5-14,0
301,EG,2008,m,5-14,13
302,ES,2005,m,5-14,7
303,ES,2006,m,5-14,6
304,ES,2007,m,5-14,6
305,ES,2008,m,5-14,9
306,FI,2005,m,5-14,1
307,FI,2006,m,5-14,0
308,FI,2007,m,5-14,0
309,FI,2008,m,5-14,0
310,FM,2008,m,5-14,0
311,FR,2005,m,5-14,5
312,FR,2006,m,5-14,9
313,FR,2007,m,5-14,9
314,FR,2008,m,5-14,5
315,GB,2005,m,5-14,5
316,GB,2006,m,5-14,6
317,GB,2007,m,5-14,11
318,GB,2008,m,5-14,4
319,GE,2006,m,5-14,3
320,GE,2007,m,5-14,1
321,GE,2008,m,5-14,122
322,GM,2008,m,5-14,6
323,GR,2005,m,5-14,1
324,GR,2006,m,5-14,0
325,GR,2007,m,5-14,1
326,GR,2008,m,5-14,0
327,GT,2008,m,5-14,19
328,GU,2008,m,5-14,0
329,GY,2008,m,5-14,5
330,HK,2008,m,5-14,0
331,HN,2008,m,5-14,10
332,HR,2005,m,5-14,1
333,HR,2006,m,5-14,0
334,HR,2008,m,5-14,0
335,HT,2008,m,5-14,82
336,HU,2005,m,5-14,0
337,HU,2006,m,5-14,2
338,HU,2007,m,5-14,0
339,HU,2008,m,5-14,0
340,ID,2008,m,5-14,710
341,IE,2005,m,5-14,1
342,IE,2006,m,5-14,0
343,IE,2007,m,5-14,0
344,IE,2008,m,5-14,1
345,IL,2005,m,5-14,0
346,IL,2006,m,5-14,0
347,IL,2007,m,5-14,1
348,IL,2008,m,5-14,0
349,IQ,2008,m,5-14,16
350,IR,2008,m,5-14,11
351,IS,2005,m,5-14,0
352,IS,2006,m,5-14,0
353,IS,2007,m,5-14,0
354,IS,2008,m,5-14,0
355,IT,2005,m,5-14,1
356,IT,2006,m,5-14,1
357,IT,2007,m,5-14,2
358,IT,2008,m,5-14,12
359,JM,2008,m,5-14,1
360,JO,2008,m,5-14,0
361,JP,2008,m,5-14,2
362,KE,2008,m,5-14,411
363,KG,2005,m,5-14,1
364,KI,2008,m,5-14,2
365,KM,2008,m,5-14,2
366,KN,2008,m,5-14,0
367,KP,2008,m,5-14,430
368,KR,2008,m,5-14,18
369,KW,2008,m,5-14,0
370,KZ,2005,m,5-14,31
371,KZ,2007,m,5-14,11
372,KZ,2008,m,5-14,14
373,LB,2008,m,5-14,1
374,LC,2008,m,5-14,0
375,LR,2008,m,5-14,104
376,LS,2008,m,5-14,21
377,LT,2005,m,5-14,0
378,LT,2006,m,5-14,0
379,LT,2007,m,5-14,0
380,LT,2008,m,5-14,0
381,LU,2005,m,5-14,0
382,LU,2006,m,5-14,0
383,LU,2007,m,5-14,0
384,LU,2008,m,5-14,0
385,LV,2005,m,5-14,1
386,LV,2006,m,5-14,2
387,LV,2008,m,5-14,0
388,LY,2008,m,5-14,1
389,MA,2008,m,5-14,46
390,MD,2005,m,5-14,2
391,MD,2007,m,5-14,0
392,MD,2008,m,5-14,1
393,ME,2005,m,5-14,0
394,ME,2007,m,5-14,0
395,ME,2008,m,5-14,0
396,MG,2008,m,5-14,121
397,MH,2008,m,5-14,1
398,MK,2005,m,5-14,2
399,MK,2006,m,5-14,0
400,MK,2007,m,5-14,1
401,MK,2008,m,5-14,1
402,ML,2008,m,5-14,20
403,MO,2008,m,5-14,1
404,MP,2008,m,5-14,0
405,MT,2005,m,5-14,0
406,MT,2006,m,5-14,0
407,MT,2007,m,5-14,0
408,MT,2008,m,5-14,0
409,MU,2008,m,5-14,0
410,MX,2008,m,5-14,62
411,MY,2008,m,5-14,160
412,NC,2008,m,5-14,0
413,NL,2005,m,5-14,0
414,NL,2006,m,5-14,0
415,NL,2007,m,5-14,0
416,NL,2008,m,5-14,0
417,NO,2005,m,5-14,0
418,NO,2006,m,5-14,0
419,NO,2008,m,5-14,1
420,NR,2008,m,5-14,0
421,NZ,2008,m,5-14,0
422,OM,2008,m,5-14,0
423,PE,2008,m,5-14,74
424,PF,2008,m,5-14,1
425,PL,2005,m,5-14,1
426,PL,2006,m,5-14,0
427,PL,2007,m,5-14,2
428,PL,2008,m,5-14,3
429,PR,2008,m,5-14,0
430,PS,2008,m,5-14,0
431,PT,2005,m,5-14,2
432,PT,2006,m,5-14,3
433,PT,2007,m,5-14,3
434,PT,2008,m,5-14,1
435,PY,2008,m,5-14,8
436,QA,2008,m,5-14,1
437,RO,2005,m,5-14,26
438,RO,2006,m,5-14,21
439,RO,2008,m,5-14,14
440,RS,2005,m,5-14,3
441,RS,2006,m,5-14,4
442,RS,2007,m,5-14,0
443,RS,2008,m,5-14,1
444,RU,2008,m,5-14,11
445,SB,2008,m,5-14,3
446,SC,2008,m,5-14,0
447,SD,2008,m,5-14,277
448,SE,2005,m,5-14,0
449,SE,2006,m,5-14,0
450,SE,2007,m,5-14,0
451,SE,2008,m,5-14,0
452,SG,2008,m,5-14,0
453,SI,2005,m,5-14,0
454,SI,2006,m,5-14,0
455,SI,2007,m,5-14,0
456,SI,2008,m,5-14,0
457,SK,2005,m,5-14,0
458,SK,2006,m,5-14,3
459,SK,2007,m,5-14,0
460,SK,2008,m,5-14,0
461,SN,2008,m,5-14,65
462,SV,2008,m,5-14,8
463,SZ,2008,m,5-14,28
464,TJ,2005,m,5-14,8
465,TJ,2008,m,5-14,7
466,TM,2005,m,5-14,2
467,TM,2007,m,5-14,2
468,TO,2008,m,5-14,0
469,TR,2005,m,5-14,32
470,TR,2006,m,5-14,38
471,TR,2007,m,5-14,37
472,TR,2008,m,5-14,41
473,TT,2008,m,5-14,2
474,TV,2008,m,5-14,2
475,UA,2007,m,5-14,9
476,UG,2008,m,5-14,269
477,US,2008,m,5-14,7
478,UY,2008,m,5-14,1
479,UZ,2007,m,5-14,18
480,VE,2008,m,5-14,18
481,ZA,2008,m,5-14,1519
482,AD,2005,m,15-24,0
483,AD,2006,m,15-24,1
484,AD,2008,m,15-24,0
485,AE,2008,m,15-24,6
486,AL,2005,m,15-24,26
487,AL,2006,m,15-24,24
488,AL,2007,m,15-24,19
489,AM,2005,m,15-24,170
490,AM,2006,m,15-24,113
491,AM,2007,m,15-24,81
492,AM,2008,m,15-24,53
493,AR,2008,m,15-24,633
494,AT,2005,m,15-24,32
495,AT,2006,m,15-24,9
496,AZ,2005,m,15-24,109
497,AZ,2006,m,15-24,241
498,BA,2005,m,15-24,22
499,BA,2006,m,15-24,40
500,BA,2007,m,15-24,0
501,BA,2008,m,15-24,20
502,BB,2008,m,15-24,0
503,BE,2005,m,15-24,26
504,BE,2006,m,15-24,26
505,BE,2008,m,15-24,23
506,BG,2005,m,15-24,98
507,BG,2008,m,15-24,80
508,BH,2008,m,15-24,17
509,BN,2008,m,15-24,10
510,BR,2008,m,15-24,4436
511,BS,2008,m,15-24,2
512,BW,2008,m,15-24,254
513,BZ,2008,m,15-24,8
514,CA,2008,m,15-24,39
515,CH,2005,m,15-24,10
516,CH,2006,m,15-24,11
517,CH,2007,m,15-24,11
518,CH,2008,m,15-24,8
519,CM,2008,m,15-24,1613
520,CY,2005,m,15-24,3
521,CY,2006,m,15-24,0
522,CY,2007,m,15-24,2
523,CY,2008,m,15-24,1
524,CZ,2005,m,15-24,8
525,CZ,2006,m,15-24,6
526,CZ,2007,m,15-24,14
527,CZ,2008,m,15-24,7
528,DE,2005,m,15-24,59
529,DE,2006,m,15-24,78
530,DE,2007,m,15-24,116
531,DE,2008,m,15-24,40
532,DK,2005,m,15-24,12
533,DK,2006,m,15-24,8
534,DK,2007,m,15-24,6
535,DK,2008,m,15-24,8
536,DM,2008,m,15-24,0
537,DO,2008,m,15-24,322
538,EE,2005,m,15-24,9
539,EE,2006,m,15-24,4
540,EE,2007,m,15-24,6
541,EE,2008,m,15-24,3
542,EG,2008,m,15-24,581
543,ES,2005,m,15-24,166
544,ES,2006,m,15-24,142
545,ES,2007,m,15-24,184
546,ES,2008,m,15-24,179
547,FI,2005,m,15-24,5
548,FI,2006,m,15-24,5
549,FI,2007,m,15-24,4
550,FI,2008,m,15-24,3
551,FM,2008,m,15-24,9
552,FR,2005,m,15-24,127
553,FR,2006,m,15-24,137
554,FR,2007,m,15-24,120
555,FR,2008,m,15-24,73
556,GB,2005,m,15-24,135
557,GB,2006,m,15-24,173
558,GB,2007,m,15-24,183
559,GB,2008,m,15-24,125
560,GE,2006,m,15-24,315
561,GE,2007,m,15-24,277
562,GE,2008,m,15-24,710
563,GM,2008,m,15-24,151
564,GR,2005,m,15-24,14
565,GR,2006,m,15-24,11
566,GR,2007,m,15-24,21
567,GR,2008,m,15-24,5
568,GT,2008,m,15-24,220
569,GU,2008,m,15-24,0
570,GY,2008,m,15-24,29
571,HK,2008,m,15-24,59
572,HN,2008,m,15-24,254
573,HR,2005,m,15-24,24
574,HR,2006,m,15-24,20
575,HR,2008,m,15-24,15
576,HT,2008,m,15-24,1137
577,HU,2005,m,15-24,6
578,HU,2006,m,15-24,10
579,HU,2007,m,15-24,7
580,HU,2008,m,15-24,12
581,ID,2008,m,15-24,15339
582,IE,2005,m,15-24,6
583,IE,2006,m,15-24,8
584,IE,2007,m,15-24,26
585,IE,2008,m,15-24,9
586,IL,2005,m,15-24,5
587,IL,2006,m,15-24,3
588,IL,2007,m,15-24,9
589,IL,2008,m,15-24,14
590,IQ,2008,m,15-24,348
591,IR,2008,m,15-24,292
592,IS,2005,m,15-24,0
593,IS,2006,m,15-24,0
594,IS,2007,m,15-24,0
595,IS,2008,m,15-24,0
596,IT,2005,m,15-24,93
597,IT,2006,m,15-24,113
598,IT,2007,m,15-24,75
599,IT,2008,m,15-24,78
600,JM,2008,m,15-24,2
601,JO,2008,m,15-24,13
602,JP,2008,m,15-24,117
603,KE,2008,m,15-24,4709
604,KG,2005,m,15-24,247
605,KI,2008,m,15-24,30
606,KM,2008,m,15-24,11
607,KN,2008,m,15-24,0
608,KP,2008,m,15-24,2341
609,KR,2008,m,15-24,492
610,KW,2008,m,15-24,18
611,KZ,2005,m,15-24,917
612,KZ,2007,m,15-24,881
613,KZ,2008,m,15-24,897
614,LB,2008,m,15-24,9
615,LC,2008,m,15-24,2
616,LR,2008,m,15-24,129
617,LS,2008,m,15-24,223
618,LT,2005,m,15-24,42
619,LT,2006,m,15-24,38
620,LT,2007,m,15-24,31
621,LT,2008,m,15-24,39
622,LU,2005,m,15-24,0
623,LU,2006,m,15-24,0
624,LU,2007,m,15-24,0
625,LU,2008,m,15-24,0
626,LV,2005,m,15-24,22
627,LV,2006,m,15-24,27
628,LV,2008,m,15-24,28
629,LY,2008,m,15-24,116
630,MA,2008,m,15-24,1992
631,MD,2005,m,15-24,211
632,MD,2007,m,15-24,181
633,MD,2008,m,15-24,167
634,ME,2005,m,15-24,3
635,ME,2007,m,15-24,0
636,ME,2008,m,15-24,2
637,MG,2008,m,15-24,1499
638,MH,2008,m,15-24,1
639,MK,2005,m,15-24,14
640,MK,2006,m,15-24,15
641,MK,2007,m,15-24,12
642,MK,2008,m,15-24,18
643,ML,2008,m,15-24,453
644,MO,2008,m,15-24,18
645,MP,2008,m,15-24,1
646,MT,2005,m,15-24,1
647,MT,2006,m,15-24,1
648,MT,2007,m,15-24,0
649,MT,2008,m,15-24,3
650,MU,2008,m,15-24,11
651,MX,2008,m,15-24,966
652,MY,2008,m,15-24,1436
653,NC,2008,m,15-24,1
654,NL,2005,m,15-24,23
655,NL,2006,m,15-24,25
656,NL,2007,m,15-24,10
657,NL,2008,m,15-24,16
658,NO,2005,m,15-24,9
659,NO,2006,m,15-24,5
660,NO,2008,m,15-24,10
661,NR,2008,m,15-24,1
662,NZ,2008,m,15-24,9
663,OM,2008,m,15-24,18
664,PE,2008,m,15-24,3406
665,PF,2008,m,15-24,3
666,PL,2005,m,15-24,109
667,PL,2006,m,15-24,92
668,PL,2007,m,15-24,85
669,PL,2008,m,15-24,66
670,PR,2008,m,15-24,2
671,PS,2008,m,15-24,1
672,PT,2005,m,15-24,85
673,PT,2006,m,15-24,80
674,PT,2007,m,15-24,69
675,PT,2008,m,15-24,51
676,PY,2008,m,15-24,238
677,QA,2008,m,15-24,47
678,RO,2005,m,15-24,752
679,RO,2006,m,15-24,748
680,RO,2008,m,15-24,671
681,RS,2005,m,15-24,62
682,RS,2006,m,15-24,87
683,RS,2007,m,15-24,42
684,RS,2008,m,15-24,37
685,RU,2008,m,15-24,2495
686,SB,2008,m,15-24,17
687,SC,2008,m,15-24,0
688,SD,2008,m,15-24,1241
689,SE,2005,m,15-24,7
690,SE,2006,m,15-24,4
691,SE,2007,m,15-24,7
692,SE,2008,m,15-24,14
693,SG,2008,m,15-24,10
694,SI,2005,m,15-24,4
695,SI,2006,m,15-24,3
696,SI,2007,m,15-24,0
697,SI,2008,m,15-24,3
698,SK,2005,m,15-24,3
699,SK,2006,m,15-24,8
700,SK,2007,m,15-24,8
701,SK,2008,m,15-24,2
702,SN,2008,m,15-24,1274
703,SV,2008,m,15-24,107
704,SZ,2008,m,15-24,231
705,TJ,2005,m,15-24,308
706,TJ,2008,m,15-24,437
707,TM,2005,m,15-24,148
708,TM,2007,m,15-24,176
709,TO,2008,m,15-24,2
710,TR,2005,m,15-24,1148
711,TR,2006,m,15-24,1212
712,TR,2007,m,15-24,1091
713,TR,2008,m,15-24,940
714,TT,2008,m,15-24,9
715,TV,2008,m,15-24,2
716,UA,2007,m,15-24,1556
717,UG,2008,m,15-24,1953
718,US,2008,m,15-24,375
719,UY,2008,m,15-24,49
720,UZ,2007,m,15-24,569
721,VE,2008,m,15-24,364
722,ZA,2008,m,15-24,10172
723,AD,2005,m,25-34,1
724,AD,2006,m,25-34,1
725,AD,2008,m,25-34,0
726,AE,2008,m,25-34,1
727,AL,2005,m,25-34,21
728,AL,2006,m,25-34,19
729,AL,2007,m,25-34,13
730,AM,2005,m,25-34,104
731,AM,2006,m,25-34,116
732,AM,2007,m,25-34,87
733,AM,2008,m,25-34,103
734,AR,2008,m,25-34,611
735,AT,2005,m,25-34,23
736,AT,2006,m,25-34,25
737,AZ,2005,m,25-34,297
738,AZ,2006,m,25-34,362
739,BA,2005,m,25-34,58
740,BA,2006,m,25-34,58
741,BA,2007,m,25-34,0
742,BA,2008,m,25-34,35
743,BB,2008,m,25-34,1
744,BE,2005,m,25-34,50
745,BE,2006,m,25-34,52
746,BE,2008,m,25-34,40
747,BG,2005,m,25-34,150
748,BG,2008,m,25-34,145
749,BH,2008,m,25-34,48
750,BN,2008,m,25-34,10
751,BR,2008,m,25-34,6173
752,BS,2008,m,25-34,6
753,BW,2008,m,25-34,528
754,BZ,2008,m,25-34,12
755,CA,2008,m,25-34,36
756,CH,2005,m,25-34,9
757,CH,2006,m,25-34,15
758,CH,2007,m,25-34,10
759,CH,2008,m,25-34,13
760,CM,2008,m,25-34,2861
761,CY,2005,m,25-34,1
762,CY,2006,m,25-34,1
763,CY,2007,m,25-34,1
764,CY,2008,m,25-34,0
765,CZ,2005,m,25-34,24
766,CZ,2006,m,25-34,19
767,CZ,2007,m,25-34,26
768,CZ,2008,m,25-34,29
769,DE,2005,m,25-34,113
770,DE,2006,m,25-34,138
771,DE,2007,m,25-34,248
772,DE,2008,m,25-34,95
773,DK,2005,m,25-34,12
774,DK,2006,m,25-34,13
775,DK,2007,m,25-34,12
776,DK,2008,m,25-34,15
777,DM,2008,m,25-34,0
778,DO,2008,m,25-34,398
779,EE,2005,m,25-34,25
780,EE,2006,m,25-34,19
781,EE,2007,m,25-34,26
782,EE,2008,m,25-34,14
783,EG,2008,m,25-34,640
784,ES,2005,m,25-34,394
785,ES,2006,m,25-34,332
786,ES,2007,m,25-34,375
787,ES,2008,m,25-34,355
788,FI,2005,m,25-34,4
789,FI,2006,m,25-34,6
790,FI,2007,m,25-34,5
791,FI,2008,m,25-34,5
792,FM,2008,m,25-34,3
793,FR,2005,m,25-34,212
794,FR,2006,m,25-34,214
795,FR,2007,m,25-34,225
796,FR,2008,m,25-34,136
797,GB,2005,m,25-34,200
798,GB,2006,m,25-34,244
799,GB,2007,m,25-34,286
800,GB,2008,m,25-34,188
801,GE,2006,m,25-34,392
802,GE,2007,m,25-34,388
803,GE,2008,m,25-34,974
804,GM,2008,m,25-34,307
805,GR,2005,m,25-34,25
806,GR,2006,m,25-34,32
807,GR,2007,m,25-34,22
808,GR,2008,m,25-34,14
809,GT,2008,m,25-34,257
810,GU,2008,m,25-34,1
811,GY,2008,m,25-34,51
812,HK,2008,m,25-34,79
813,HN,2008,m,25-34,263
814,HR,2005,m,25-34,27
815,HR,2006,m,25-34,23
816,HR,2008,m,25-34,25
817,HT,2008,m,25-34,1337
818,HU,2005,m,25-34,24
819,HU,2006,m,25-34,31
820,HU,2007,m,25-34,31
821,HU,2008,m,25-34,23
822,ID,2008,m,25-34,22325
823,IE,2005,m,25-34,10
824,IE,2006,m,25-34,18
825,IE,2007,m,25-34,49
826,IE,2008,m,25-34,18
827,IL,2005,m,25-34,10
828,IL,2006,m,25-34,12
829,IL,2007,m,25-34,20
830,IL,2008,m,25-34,25
831,IQ,2008,m,25-34,525
832,IR,2008,m,25-34,466
833,IS,2005,m,25-34,0
834,IS,2006,m,25-34,0
835,IS,2007,m,25-34,0
836,IS,2008,m,25-34,1
837,IT,2005,m,25-34,191
838,IT,2006,m,25-34,201
839,IT,2007,m,25-34,170
840,IT,2008,m,25-34,148
841,JM,2008,m,25-34,10
842,JO,2008,m,25-34,10
843,JP,2008,m,25-34,339
844,KE,2008,m,25-34,8128
845,KG,2005,m,25-34,303
846,KI,2008,m,25-34,9
847,KM,2008,m,25-34,11
848,KN,2008,m,25-34,0
849,KP,2008,m,25-34,3320
850,KR,2008,m,25-34,865
851,KW,2008,m,25-34,90
852,KZ,2005,m,25-34,1142
853,KZ,2007,m,25-34,976
854,KZ,2008,m,25-34,968
855,LB,2008,m,25-34,14
856,LC,2008,m,25-34,0
857,LR,2008,m,25-34,412
858,LS,2008,m,25-34,615
859,LT,2005,m,25-34,118
860,LT,2006,m,25-34,120
861,LT,2007,m,25-34,77
862,LT,2008,m,25-34,110
863,LU,2005,m,25-34,2
864,LU,2006,m,25-34,3
865,LU,2007,m,25-34,0
866,LU,2008,m,25-34,0
